Box TID	63211001	Name	마니의 디시르 카드 (63211001)	RollCount	1000000
common	10002	스팅가	117092	0.11687500	0.11709200
common	10003	베이니	116312	0.11687500	0.11631200
common	10004	헤이티	117013	0.11687500	0.11701300
common	10005	파트라	116784	0.11687500	0.11678400
common	10006	스쿠다	117574	0.11687500	0.11757400
common	10007	쿠리	117379	0.11687500	0.11737900
common	10008	피이리	117155	0.11687500	0.11715500
common	10009	바트	117052	0.11687500	0.11705200
common	20001	알바	7935	0.00811250	0.00793500
common	20002	굴르	8163	0.00811250	0.00816300
common	20003	쿨	7889	0.00811250	0.00788900
common	20005	스납	7868	0.00811250	0.00786800
common	20006	비요른	7930	0.00811250	0.00793000
common	20007	라우프	8095	0.00811250	0.00809500
common	20008	귈리르	7886	0.00811250	0.00788600
common	20009	흐레인	7779	0.00811250	0.00777900
common	30001	브림오른	12	0.00000899	0.00001200
common	30002	히민흐발르	8	0.00000899	0.00000800
common	30003	베오터르	9	0.00000899	0.00000900
common	30004	호른게이트	9	0.00000899	0.00000900
common	30005	모르코켓트	8	0.00000899	0.00000800
common	30006	린드라	7	0.00000899	0.00000700
common	30007	스토름하우크르	7	0.00000899	0.00000700
common	30008	뷔알프	8	0.00000899	0.00000800
common	30009	베트라르	10	0.00000899	0.00001000
common	30011	페르다스쿠기	3	0.00000899	0.00000300
common	30012	브룬게이트	13	0.00000899	0.00001300
common	40001	톰테	0	0.00000015	0.00000000
common	40003	베드르폴니르	0	0.00000015	0.00000000
common	40004	탕그리스니르	0	0.00000015	0.00000000
common	40006	오테르	0	0.00000015	0.00000000
common	40007	글래시르	0	0.00000015	0.00000000
common	40008	모쿠르칼피	0	0.00000015	0.00000000
common	40009	라타토스크	0	0.00000015	0.00000000


