Box TID	602201550	Name	솔의 디시르 11회 카드 (602201550)	RollCount	1000000
common	10002	스팅가	976172	0.09054690	0.08874291
common	10003	베이니	977335	0.09054690	0.08884864
common	10004	헤이티	977044	0.09054690	0.08882218
common	10005	파트라	976191	0.09054690	0.08874464
common	10006	스쿠다	977872	0.09054690	0.08889745
common	10007	쿠리	976621	0.09054690	0.08878373
common	10008	피이리	976138	0.09054690	0.08873982
common	10009	바트	976577	0.09054690	0.08877973
common	20001	알바	378237	0.03279936	0.03438518
common	20002	굴르	379133	0.03279936	0.03446664
common	20003	쿨	378569	0.03279936	0.03441536
common	20005	스납	376530	0.03279936	0.03423000
common	20006	비요른	378392	0.03279936	0.03439927
common	20007	라우프	379663	0.03279936	0.03451482
common	20008	귈리르	378423	0.03279936	0.03440209
common	20009	흐레인	377084	0.03279936	0.03428036
common	30001	브림오른	12823	0.00105839	0.00116573
common	30002	히민흐발르	12897	0.00105839	0.00117245
common	30003	베오터르	12865	0.00105839	0.00116955
common	30004	호른게이트	12628	0.00105839	0.00114800
common	30005	모르코켓트	13094	0.00105839	0.00119036
common	30006	린드라	12934	0.00105839	0.00117582
common	30007	스토름하우크르	13033	0.00105839	0.00118482
common	30008	뷔알프	13039	0.00105839	0.00118536
common	30009	베트라르	12621	0.00105839	0.00114736
common	30011	페르다스쿠기	13126	0.00105839	0.00119327
common	30012	브룬게이트	12806	0.00105839	0.00116418
common	40001	톰테	2428	0.00021240	0.00022073
common	40003	베드르폴니르	2375	0.00021240	0.00021591
common	40004	탕그리스니르	2399	0.00021240	0.00021809
common	40006	오테르	2474	0.00021240	0.00022491
common	40007	글래시르	2471	0.00021240	0.00022464
common	40008	모쿠르칼피	2480	0.00021240	0.00022545
common	40009	라타토스크	2462	0.00021240	0.00022382
common	50001	링바크르	143	0.00001440	0.00001300
common	50002	헤이드룬	165	0.00001440	0.00001500
common	50004	훌드라	138	0.00001440	0.00001255
common	50005	에이크쉬르니르	140	0.00001440	0.00001273
common	50006	니드호그	154	0.00001440	0.00001400
common	50007	흐레스벨그	169	0.00001440	0.00001536
common	50008	수르트	155	0.00001440	0.00001409


