item_id	이름	등급	횟수_전체	기대확률	최종 RollCount	새로운 결과확률
10002	스팅가	common	1327556	0.110292975	12065211	0.11003172675554534
10003	베이니	common	1327219	0.110292975	12100481	0.1096831605289079
10004	헤이티	common	1328054	0.110292975	12077825	0.1099580429423344
10005	파트라	common	1327432	0.110292975	12067957	0.10999641447181159
10006	스쿠다	common	1329811	0.110292975	12066253	0.1102091096548365
10007	쿠리	common	1328118	0.110292975	12066102	0.11007017842216152
10008	피이리	common	1327558	0.110292975	12064327	0.1100399549846419
10009	바트	common	1326854	0.110292975	12088224	0.10976418041227562
20001	알바	common	402124	0.014284215	27603155	0.014568044848496485
20002	굴르	common	403362	0.014284215	27488379	0.014673910018484539
20003	쿨	common	402493	0.014284215	27596669	0.014584839931225033
20005	스납	common	400573	0.014284215	27496302	0.014568249941392119
20006	비요른	common	402182	0.014284215	27646472	0.01454731728518561
20007	라우프	common	403618	0.014284215	27612057	0.014617454976280832
20008	귈리르	common	402234	0.014284215	27638732	0.014553272559681826
20009	흐레인	common	400513	0.014284215	27760696	0.014427340006172755
30001	브림오른	common	12856	0.00027134	42898734	0.00029968250345103423
30002	히민흐발르	common	12916	0.00027134	43362290	0.0002978624975756585
30003	베오터르	common	12894	0.00027134	43031997	0.0002996374999747281
30004	호른게이트	common	12658	0.00027134	42981324	0.00029450000190780535
30005	모르코켓트	common	13127	0.00027134	42921135	0.00030584000166817584
30006	린드라	common	12955	0.00027134	43298073	0.00029920500157131706
30007	스토름하우크르	common	13046	0.00027134	43565811	0.0002994550015377884
30008	뷔알프	common	13064	0.00027134	43173932	0.000302589998057161
30009	베트라르	common	12646	0.00027134	43147156	0.00029309000111154486
30011	페르다스쿠기	common	13146	0.00027134	43340724	0.00030331749880320414
30012	브룬게이트	common	12834	0.00027134	43060612	0.00029804499759548237
40001	톰테	common	2429	5.3212500000000006e-05	43819059	5.543250027345407e-05
40003	베드르폴니르	common	2376	5.3212500000000006e-05	43815407	5.422750038588025e-05
40004	탕그리스니르	common	2400	5.3212500000000006e-05	43817609	5.477250025212467e-05
40006	오테르	common	2474	5.3212500000000006e-05	43999822	5.622750019306896e-05
40007	글래시르	common	2471	5.3212500000000006e-05	43999288	5.615999967999482e-05
40008	모쿠르칼피	common	2481	5.3212500000000006e-05	43824244	5.6612499693092256e-05
40009	라타토스크	common	2462	5.3212500000000006e-05	43999643	5.595499945306375e-05
50001	링바크르	common	143	1.44e-05	11000000	1.3e-05
50002	헤이드룬	common	165	1.44e-05	11000000	1.5e-05
50004	훌드라	common	138	1.44e-05	10996016	1.2549999927246377e-05
50005	에이크쉬르니르	common	140	1.44e-05	10997643	1.2730000419180729e-05
50006	니드호그	common	154	1.44e-05	11000000	1.4e-05
50007	흐레스벨그	common	169	1.44e-05	11002604	1.5360000232672194e-05
50008	수르트	common	155	1.44e-05	11000710	1.4089999645477429e-05
