item_id	이름	등급	횟수	뽑기	기대확률	새로운 결과확률
10002	스팅가	common	351384	3000000	0.11687500	0.11712800
10003	베이니	common	349884	3000000	0.11687500	0.11662800
10004	헤이티	common	351010	3000000	0.11687500	0.11700333
10005	파트라	common	351241	3000000	0.11687500	0.11708033
10006	스쿠다	common	351939	3000000	0.11687500	0.11731300
10007	쿠리	common	351497	3000000	0.11687500	0.11716567
10008	피이리	common	351420	3000000	0.11687500	0.11714000
10009	바트	common	350277	3000000	0.11687500	0.11675900
20001	알바	common	23887	3000000	0.00811250	0.00796233
20002	굴르	common	24229	3000000	0.00811250	0.00807633
20003	쿨	common	23924	3000000	0.00811250	0.00797467
20005	스납	common	24043	3000000	0.00811250	0.00801433
20006	비요른	common	23790	3000000	0.00811250	0.00793000
20007	라우프	common	23955	3000000	0.00811250	0.00798500
20008	귈리르	common	23811	3000000	0.00811250	0.00793700
20009	흐레인	common	23429	3000000	0.00811250	0.00780967
30001	브림오른	common	33	3000000	0.00000899	0.00001100
30002	히민흐발르	common	19	3000000	0.00000899	0.00000633
30003	베오터르	common	29	3000000	0.00000899	0.00000967
30004	호른게이트	common	30	3000000	0.00000899	0.00001000
30005	모르코켓트	common	33	3000000	0.00000899	0.00001100
30006	린드라	common	21	3000000	0.00000899	0.00000700
30007	스토름하우크르	common	13	3000000	0.00000899	0.00000433
30008	뷔알프	common	25	3000000	0.00000899	0.00000833
30009	베트라르	common	25	3000000	0.00000899	0.00000833
30011	페르다스쿠기	common	20	3000000	0.00000899	0.00000667
30012	브룬게이트	common	28	3000000	0.00000899	0.00000933
40001	톰테	common	1	1000000	0.00000015	0.00000100
40003	베드르폴니르	common	1	1000000	0.00000015	0.00000100
40004	탕그리스니르	common	1	1000000	0.00000015	0.00000100
40006	오테르	common	0	0	0.00000015	0.00000000
40007	글래시르	common	0	0	0.00000015	0.00000000
40008	모쿠르칼피	common	1	1000000	0.00000015	0.00000100
40009	라타토스크	common	0	0	0.00000015	0.00000000
합계			3000000	85000000	0.99999994	1.00000265
